31-03-2026 20:19:09 | GET | cafeteria-api/produtos
31-03-2026 20:19:12 | GET | cafeteria-api/categorias
31-03-2026 20:19:12 | GET | cafeteria-api/produtos
31-03-2026 20:19:20 | GET | cafeteria-api/produtos
s
31-03-2026 20:19:52 | GET | cafeteria-api/categorias
31-03-2026 20:19:52 | GET | cafeteria-api/produtos
31-03-2026 20:26:59 | GET | cafeteria-api/produtos
31-03-2026 20:26:59 | GET | cafeteria-api/categorias
31-03-2026 20:27:02 | GET | cafeteria-api/categorias
31-03-2026 20:27:03 | GET | cafeteria-api/produtos
s
31-03-2026 20:27:13 | GET | cafeteria-api/categorias
31-03-2026 20:27:13 | GET | cafeteria-api/produtos
31-03-2026 20:27:25 | GET | cafeteria-api/produtos
31-03-2026 20:27:25 | GET | cafeteria-api/categorias
31-03-2026 20:27:30 | GET | cafeteria-api/categorias
31-03-2026 20:27:30 | GET | cafeteria-api/produtos
31-03-2026 20:27:37 | GET | cafeteria-api/produtos
31-03-2026 20:27:37 | GET | cafeteria-api/categorias
31-03-2026 20:27:41 | GET | cafeteria-api/categorias
31-03-2026 20:27:47 | GET | cafeteria-api/categorias
31-03-2026 20:27:47 | GET | cafeteria-api/produtos
31-03-2026 20:27:50 | GET | cafeteria-api/produtos
31-03-2026 20:27:50 | GET | cafeteria-api/categorias
31-03-2026 20:27:57 | GET | cafeteria-api/categorias
31-03-2026 20:28:01 | GET | cafeteria-api/produtos
31-03-2026 20:28:01 | GET | cafeteria-api/categorias
31-03-2026 20:28:05 | GET | cafeteria-api/produtos
31-03-2026 20:28:05 | GET | cafeteria-api/categorias
31-03-2026 20:28:07 | GET | cafeteria-api/categorias
31-03-2026 20:28:12 | POST | cafeteria-api/categorias
31-03-2026 20:28:12 | GET | cafeteria-api/categorias
31-03-2026 20:28:14 | OPTIONS | cafeteria-api/categorias/8
31-03-2026 20:28:14 | DELETE | cafeteria-api/categorias/8
31-03-2026 20:28:17 | GET | cafeteria-api/categorias
31-03-2026 20:28:17 | GET | cafeteria-api/produtos
31-03-2026 20:28:42 | POST | cafeteria-api/produtos
31-03-2026 20:28:42 | GET | cafeteria-api/produtos
31-03-2026 20:28:45 | OPTIONS | cafeteria-api/produtos/6
31-03-2026 20:28:45 | DELETE | cafeteria-api/produtos/6
31-03-2026 20:28:45 | GET | cafeteria-api/produtos
31-03-2026 20:28:48 | GET | cafeteria-api/categorias
31-03-2026 20:28:49 | OPTIONS | cafeteria-api/categorias/8
31-03-2026 20:28:49 | DELETE | cafeteria-api/categorias/8
31-03-2026 20:28:49 | GET | cafeteria-api/categorias
31-03-2026 20:28:51 | GET | cafeteria-api/categorias
07-04-2026 13:11:20 | GET | cafeteria-api/produtos
s
07-04-2026 13:11:23 | GET | cafeteria-api/categorias
07-04-2026 13:11:24 | GET | cafeteria-api/categorias
07-04-2026 13:11:27 | GET | cafeteria-api/categorias
07-04-2026 13:11:31 | GET | cafeteria-api/produtos
s
07-04-2026 13:11:49 | POST | cafeteria-api/produtos
07-04-2026 13:11:49 | GET | cafeteria-api/produtos
07-04-2026 13:12:12 | GET | cafeteria-api/categorias
07-04-2026 13:12:15 | GET | cafeteria-api/categorias
07-04-2026 13:14:38 | GET | cafeteria-api/categorias
07-04-2026 13:14:38 | GET | cafeteria-api/produtos
07-04-2026 13:15:03 | GET | cafeteria-api/categorias
07-04-2026 13:17:13 | GET | cafeteria-api/categorias
07-04-2026 13:18:12 | GET | cafeteria-api/categorias
07-04-2026 13:18:15 | GET | cafeteria-api/categorias
07-04-2026 13:18:16 | GET | cafeteria-api/categorias
07-04-2026 13:18:28 | GET | cafeteria-api/categorias
07-04-2026 13:18:28 | GET | cafeteria-api/categorias
07-04-2026 13:18:29 | GET | cafeteria-api/categorias
07-04-2026 13:18:29 | GET | cafeteria-api/categorias
07-04-2026 13:18:29 | GET | cafeteria-api/categorias
07-04-2026 13:18:29 | GET | cafeteria-api/categorias
07-04-2026 13:18:29 | GET | cafeteria-api/categorias
07-04-2026 13:18:37 | GET | cafeteria-api/categorias
07-04-2026 13:18:38 | GET | cafeteria-api/categorias
07-04-2026 13:18:38 | GET | cafeteria-api/produtos
07-04-2026 13:18:47 | GET | cafeteria-api/produtos
s
07-04-2026 13:18:47 | GET | cafeteria-api/produtos
s
07-04-2026 13:18:52 | GET | cafeteria-api/produtos
s
07-04-2026 13:18:53 | GET | cafeteria-api/categorias
07-04-2026 13:18:56 | GET | cafeteria-api/categorias
07-04-2026 13:18:57 | GET | cafeteria-api/produtos
07-04-2026 13:18:57 | GET | cafeteria-api/categorias
07-04-2026 13:18:58 | GET | cafeteria-api/categorias
07-04-2026 13:18:58 | GET | cafeteria-api/produtos
s
07-04-2026 13:18:59 | GET | cafeteria-api/categorias
07-04-2026 13:18:59 | GET | cafeteria-api/categorias
07-04-2026 13:19:00 | GET | cafeteria-api/categorias
07-04-2026 13:19:01 | GET | cafeteria-api/categorias
07-04-2026 13:19:01 | GET | cafeteria-api/categorias
07-04-2026 13:19:01 | GET | cafeteria-api/produtos
s
07-04-2026 13:19:02 | GET | cafeteria-api/categorias
07-04-2026 13:21:06 | GET | cafeteria-api/produtos
s
07-04-2026 13:21:07 | GET | cafeteria-api/categorias
07-04-2026 13:21:07 | GET | cafeteria-api/produtos
s
07-04-2026 13:44:56 | GET | cafeteria-api/produtos
s
07-04-2026 13:44:57 | GET | cafeteria-api/categorias
07-04-2026 13:44:57 | GET | cafeteria-api/produtos
07-04-2026 13:45:00 | GET | cafeteria-api/produtos
07-04-2026 13:45:00 | GET | cafeteria-api/categorias
07-04-2026 13:45:03 | GET | cafeteria-api/produtos
s
07-04-2026 13:45:19 | GET | cafeteria-api/produtos
07-04-2026 13:45:19 | GET | cafeteria-api/categorias
07-04-2026 13:45:47 | GET | cafeteria-api/categorias
07-04-2026 13:45:59 | GET | cafeteria-api/categorias
07-04-2026 13:46:34 | GET | cafeteria-api/categorias
07-04-2026 13:46:41 | GET | cafeteria-api/categorias
07-04-2026 13:46:54 | GET | cafeteria-api/produtos
07-04-2026 13:46:54 | GET | cafeteria-api/categorias
07-04-2026 13:46:58 | GET | cafeteria-api/categorias
07-04-2026 13:46:58 | GET | cafeteria-api/produtos
07-04-2026 13:46:59 | GET | cafeteria-api/produtos
s
07-04-2026 13:47:09 | GET | cafeteria-api/categorias
07-04-2026 13:47:09 | GET | cafeteria-api/produtos
07-04-2026 13:47:11 | GET | cafeteria-api/categorias
07-04-2026 13:47:11 | GET | cafeteria-api/produtos
07-04-2026 13:49:43 | GET | cafeteria-api/produtos
s
07-04-2026 13:49:45 | GET | cafeteria-api/produtos
07-04-2026 13:49:45 | GET | cafeteria-api/categorias
07-04-2026 13:49:50 | GET | cafeteria-api/categorias
07-04-2026 13:50:07 | GET | cafeteria-api/produtos
s
07-04-2026 13:50:11 | GET | cafeteria-api/categorias
07-04-2026 13:50:14 | GET | cafeteria-api/categorias
07-04-2026 13:50:41 | GET | cafeteria-api/categorias
07-04-2026 13:50:44 | GET | cafeteria-api/categorias
07-04-2026 13:50:50 | OPTIONS | cafeteria-api/categorias/1
07-04-2026 13:50:50 | PUT | cafeteria-api/categorias/1
07-04-2026 13:50:52 | PUT | cafeteria-api/categorias/1
07-04-2026 13:50:53 | PUT | cafeteria-api/categorias/1
07-04-2026 13:50:54 | PUT | cafeteria-api/categorias/1
07-04-2026 13:50:54 | PUT | cafeteria-api/categorias/1
07-04-2026 13:50:56 | OPTIONS | cafeteria-api/categorias/1
07-04-2026 13:50:56 | PUT | cafeteria-api/categorias/1
07-04-2026 13:53:59 | GET | cafeteria-api/categorias
07-04-2026 13:54:42 | PUT | cafeteria-api/categorias/1
07-04-2026 13:57:38 | GET | cafeteria-api/categorias
07-04-2026 13:57:39 | GET | cafeteria-api/categorias
07-04-2026 13:57:46 | GET | cafeteria-api/categorias
07-04-2026 13:59:33 | GET | cafeteria-api/categorias
